Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,G+A-PK,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_stats_shooting,PKatt_stats_shooting,Crs,TklW,Int,Fld,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,OG,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm
1,Brenden Aaronson,us USA,"MF,FW",Leeds United,eng Premier League,25.0,2000,34,27,2239,24.9,4,5,9,4,0,0,2,0,0.36,43,16,37.2,1.73,0.64,0.09,0.25,0,0,36,23,17,48,2,0,0,19,0,,,,,,,,,,,,,,
2,Zach Abbott,eng ENG,DF,Nottingham Forest,eng Premier League,19.0,2006,3,2,164,1.8,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,3,4,2,1,0,0,0,3,0,,,,,,,,,,,,,,
3,Jones El-Abdellaoui,ma MAR,"MF,FW",Celta Vigo,es La Liga,20.0,2006,21,4,666,7.4,2,0,2,2,0,0,0,0,0.27,17,4,23.5,2.30,0.54,0.12,0.50,0,0,27,3,3,3,0,0,0,6,0,,,,,,,,,,,,,,
4,Himad Abdelli,dz ALG,MF,Marseille,fr Ligue 1,26.0,1999,8,1,138,1.5,0,0,0,0,0,0,1,0,0.00,4,1,25.0,2.61,0.65,0.00,0.00,0,0,1,1,2,0,1,0,0,3,0,,,,,,,,,,,,,,
5,Himad Abdelli,dz ALG,MF,Angers,fr Ligue 1,26.0,1999,13,11,943,10.5,2,0,2,0,2,2,1,0,0.00,11,5,45.5,1.05,0.48,0.00,0.00,2,2,9,17,13,12,1,0,0,16,0,,,,,,,,,,,,,,
6,Ali Abdi,tn TUN,"MF,DF",Nice,fr Ligue 1,32.0,1993,20,12,1065,11.8,3,0,3,3,0,0,4,1,0.25,11,3,27.3,0.93,0.25,0.27,1.00,0,0,31,9,10,17,4,1,1,20,0,,,,,,,,,,,,,,
7,Salis Abdul Samed,gh GHA,MF,Nice,fr Ligue 1,26.0,2000,17,11,853,9.5,0,0,0,0,0,0,3,0,0.00,1,0,0.0,0.11,0.00,0.00,,0,0,2,7,11,9,3,0,0,19,0,,,,,,,,,,,,,,
8,Saud Abdulhamid,sa KSA,MF,Lens,fr Ligue 1,26.0,1999,24,13,1307,14.5,2,4,6,2,0,0,3,1,0.41,8,3,37.5,0.55,0.21,0.25,0.67,0,0,46,22,9,14,3,1,0,24,0,,,,,,,,,,,,,,
9,Tay Abed,il ISR,MF,Levante,es La Liga,22.0,2004,6,0,48,0.5,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,3,1,1,2,0,0,0,1,0,,,,,,,,,,,,,,
10,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,33.0,1993,26,25,2163,24.0,1,0,1,1,0,0,6,0,0.04,20,5,25.0,0.83,0.21,0.05,0.20,0,0,9,22,28,24,6,0,0,24,0,,,,,,,,,,,,,,
11,Matthis Abline,fr FRA,"FW,MF",Nantes,fr Ligue 1,23.0,2003,32,27,2494,27.7,6,4,10,6,0,1,6,0,0.36,84,22,26.2,3.03,0.79,0.07,0.27,0,1,62,13,9,42,6,0,0,32,0,,,,,,,,,,,,,,
12,Abner,br BRA,"DF,MF",Lyon,fr Ligue 1,25.0,2000,24,23,1970,21.9,3,2,5,3,0,0,4,1,0.23,17,7,41.2,0.78,0.32,0.18,0.43,0,0,57,18,8,6,4,1,0,22,0,,,,,,,,,,,,,,
13,Zakaria Aboukhlal,ma MAR,MF,Torino,it Serie A,26.0,2000,15,6,511,5.7,0,0,0,0,0,0,4,0,0.00,7,2,28.6,1.23,0.35,0.00,0.00,0,0,18,12,1,11,4,0,0,12,0,,,,,,,,,,,,,,
14,Abdel Abqar,ma MAR,DF,Getafe,es La Liga,27.0,1999,20,15,1256,14.0,0,2,2,0,0,0,9,1,0.14,7,1,14.3,0.50,0.07,0.00,0.00,0,0,2,16,19,33,9,1,0,24,0,,,,,,,,,,,,,,
15,Tammy Abraham,eng ENG,FW,Aston Villa,eng Premier League,28.0,1997,12,2,286,3.2,2,0,2,2,0,0,0,0,0.63,9,3,33.3,2.83,0.94,0.22,0.67,0,0,1,1,0,0,0,0,0,2,0,,,,,,,,,,,,,,
16,Francis Abu,gh GHA,MF,Toulouse,fr Ligue 1,25.0,2001,8,7,526,5.8,0,0,0,0,0,0,2,0,0.00,6,0,0.0,1.03,0.00,0.00,,0,0,0,12,8,4,2,0,0,5,0,,,,,,,,,,,,,,
17,Giorgi Abuashvili,ge GEO,"MF,FW",Metz,fr Ligue 1,23.0,2003,21,5,573,6.4,2,0,2,2,0,0,1,0,0.31,17,7,41.2,2.67,1.10,0.12,0.29,0,0,29,7,4,9,1,0,0,6,0,,,,,,,,,,,,,,
18,Mathieu Acapandié,mg MAD,"MF,DF",Nantes,fr Ligue 1,21.0,2004,6,2,261,2.9,0,0,0,0,0,0,0,0,0.00,0,0,,0.00,0.00,,,0,0,11,1,3,0,0,0,0,3,0,,,,,,,,,,,,,,
19,Francesco Acerbi,it ITA,DF,Inter,it Serie A,38.0,1988,16,13,1198,13.3,0,1,1,0,0,0,3,0,0.08,3,1,33.3,0.23,0.08,0.00,0.00,0,0,2,9,17,12,3,0,0,15,0,,,,,,,,,,,,,,
20,Ragnar Ache,de GER,FW,Köln,de Bundesliga,27.0,1998,29,18,1718,19.1,7,4,11,7,0,0,3,0,0.58,52,22,42.3,2.72,1.15,0.13,0.32,0,0,1,8,4,29,3,0,0,18,0,,,,,,,,,,,,,,
21,Joshua Acheampong,eng ENG,DF,Chelsea,eng Premier League,20.0,2006,15,7,587,6.5,1,0,1,1,0,0,1,0,0.15,3,2,66.7,0.46,0.31,0.33,0.50,0,0,1,7,11,5,1,0,0,2,0,,,,,,,,,,,,,,
22,Akor Adams,ng NGA,FW,Sevilla,es La Liga,26.0,2000,28,19,1846,20.5,8,3,11,5,3,3,2,0,0.39,55,27,49.1,2.68,1.32,0.09,0.19,3,3,15,3,1,10,2,0,0,31,0,,,,,,,,,,,,,,
23,Che Adams,sct SCO,FW,Torino,it Serie A,29.0,1996,31,19,1826,20.3,5,2,7,5,0,0,0,0,0.35,48,14,29.2,2.37,0.69,0.10,0.36,0,0,13,9,1,15,0,0,0,17,0,,,,,,,,,,,,,,
24,Tyler Adams,us USA,MF,Bournemouth,eng Premier League,27.0,1999,22,19,1545,17.2,2,2,4,2,0,0,7,0,0.23,9,6,66.7,0.52,0.35,0.22,0.33,0,0,3,20,26,12,7,0,0,30,0,,,,,,,,,,,,,,
25,Junior Adamu,at AUT,FW,Freiburg,de Bundesliga,24.0,2001,9,7,446,5.0,1,1,2,1,0,0,1,0,0.40,8,3,37.5,1.61,0.61,0.13,0.33,0,0,2,6,5,9,1,0,0,10,0,,,,,,,,,,,,,,
26,Tosin Adarabioyo,eng ENG,DF,Chelsea,eng Premier League,28.0,1997,16,8,795,8.8,0,0,0,0,0,0,2,0,0.00,2,0,0.0,0.23,0.00,0.00,,0,0,0,6,9,0,2,0,0,6,0,,,,,,,,,,,,,,
27,Jayden Addai,nl NED,MF,Como,it Serie A,20.0,2005,12,7,686,7.6,3,0,3,3,0,0,4,0,0.39,13,6,46.2,1.71,0.79,0.23,0.50,0,0,10,2,2,14,4,0,0,13,0,,,,,,,,,,,,,,
